City,Store Code
HBL-Vidhya Nagar,HBL_VDHNGR_P01R0CC
MEH-Hub Town,MEH_HUBTWN_P01R0CC
HYD-KOTHAPET New,HYD_KOTHPT_P01R1CC
MDU-Villapuram,MDU_VLSPRM_P01R0CC
GZB-Crossing Republic SS,GZB_CRORPB_SS1R0CC
DEL-IP Extension SS,DEL_IPEXTN_SS1R0CC
HYD-Sumitra Nagar Colony,HYD_VKDNGR_N03R0FF
HYD-Domalguda,HYD_HMYTNG_N02R0CC
BLR-BROOKEFIELD,BLR_BRKFLD_P01R0CC
BLR-Kothnur New,BLR_KTHNUR_P01R1CC
BLR-Arekere,BLR_BNRGTA_N04R0CC
PUN-NIBM ROAD,PUN_NIBMRD_P01R0CC
CHN-KK Nagar Network-2,CHN_KKNAGR_N02R0CC
KOC-Edappally,KOC_EDPALY_P01R0CC
BLR-TC Palaya,BLR_RMURTY_N02R0FF
PYJ-Naini,PYJ_NAINI_P01R0CC
PNY-White Town,PNY_WHTTWN_P01R0CC
BLR-Basavanapura Network,BLR_BSNPUR_N01R0CC
CHN-MADAMBAKKAM,CHN_MADABK_P01R0CC
MRT-Defence Colony,MRT_DEFCOL_P01R0CC
BLR-Nagondanahalli,BLR_WHTFLD_N03R0CF
BLR-TMC Layout,BLR_BTMLYT_N04R0CC
HYD-Nizampet SS,HYD_NZMPET_SS1R0CC
CHN-Mahindra World City,CHN_MDRWC_P01R0CC
BLR-Doddakannelli,BLR_SRJPUR_N01R0FF
BLR-RR Nagar SS,BLR_RRNGR_SS1R0CC
HYD-KOTHAPET NETWORK-2,HYD_KOTHPT_N02R0CC
HYD-Indis Pble City,HYD_INPBCT_P01R0CC
HYD-HAYAT-NAGAR-KALASA,HYD_HYTNGR_P01R1CC
COI-Peelamedu,COI_PELMDU_P01R0CC
BLR-Golahalli,BLR_KTHNUR_N01R0CC
KAR-Sapthagiri Colony,KAR_SPTCLN_P01R0CC
BEK-Janakpuri,BEK_JNKPRI_P01R0FF
KOL-PHOOLBAGAN New,KOL_PHLBGN_P01R1CC
HYD-Dulapally SS,HYD_DULPLY_SS1R0CC
MYQ-Vani villas,MYQ_VNIVLS_P01R0CC
BLR-Bellandur-5,BLR_BLNDUR_N04R0CC
BLR-Carmelaram,BLR_SRJPUR_N06R0CC
MUM-Parel SS,MUM_PAREL_SS1R0CC
KAR-Ganesh Nagar,KAR_GNSHNG_P01R0CC
BLR-Seegehalli,BLR_BSNPUR_N03R0CC
CHN-KKR Nagar,CHN_KKRNGR_P01R0CC
BLR-Abbigere,BLR_ABIGER_P01R0CC
CHN-Irumbuliyur,CHN_TMBRAM_N01R0CC
BLR-Bannerghatta Network,BLR_BNRGTA_N01R0CC
CHN-Avadi,CHN_AVADI_P01R0CC
DEL-Pitampura network,DEL_PTMPUR_N01R0FF
BLR-Junnasandra,BLR_SRJPUR_N04R0CC
BEK-Mahanagar Colony,BEK_MHNGCL_P01R0CF
BLR-Agrahara Road,BLR_BLNDUR_N06R0CC
FBD-Sector 16 SS,FBD_SEC16_SS1R0CC
BLR-Sarjapur New,BLR_SRJPUR_P01R1CC
BLR-Bannerghatta SS,BLR_BNRGTA_SS1R0CC
BLR-CV RAMAN NAGAR NEW,BLR_CVRNGR_P01R1CC
BLR-Siddapura,BLR_WHTFLD_N05R0FF
BLR-Balagere SS,BLR_BALGRE_SS1R0CC
DEV-Jayanagara,DEV_JYNAGR_P01R0CC
DEL-Dilshad Garden SS,DEL_DLSGRD_SS1R0CC
BLR-27th Main Road,BLR_HSRLYT_N03R0CF
VJW-HB Colony,VJW_HBCLNY_P01R0CC
MUM-BKC-MAIN,MUM_BKC_P01R2CC714
BLR-Peenya SS,BLR_PEENYA_SS1R0CC
DEL-Rajapuri,DEL_UTMNGR_N02R0FF
MUM-Vile parle,MUM_VLEPRL_P01R0CC
BLR-Hope Farm SS,BLR_HPEFRM_SS1R0CC
AHM-Jagatpur,AHM_GOTA_N01R0FF
